Avg Turnover,Avg Throughput,Distance Travelling,Sim Completion
1_6
402.604338665664,456.5915919246,2471.12359954702,1110.99
423.301972210555,486.322369706812,2762.02773876812,1193.49
401.029693276828,479.02095599904,3186.3463203518,1188.31
393.209231958562,456.867031901262,2453.19076407563,1148.5
403.717622445273,463.657714682226,2376.33324339412,1188.22
404.7725717113764,468.491932842788,2649.804333227338,1165.902
11.145321894951675,13.499175053314708,333.8568307809184,35.63518864830099

2_12
356.803099227176,421.127029912827,7050.21499207877,1032.67
376.88949123871,441.926658693857,7360.70131121809,1074.05
384.742625064994,448.26426363157,7927.97890429403,1093.54
376.88949123871,441.926658693857,7360.70131121809,1074.05
359.863108916669,406.758389102676,7108.75112944285,1048.31
387.9050674243141,450.24626642487266,5005.736931438851,1115.213
20.88542034449625,24.209543832851548,2504.0346429054025,60.62104750918703

3-18
278.851460125636,278.863317137541,7212.52907674745,790.34
253.768662994994,253.7774881321,5462.64565101104,747.85
241.038460438151,241.048940452255,6219.0872153294,783.41
252.621989039356,252.626819630845,5886.72599748564,728.98
269.510300029685,269.518732754443,5968.84895944435,762.39
344.9894364580641,386.55319749039404,5387.147080960426,997.6733333333333
65.50541584898262,95.57133356112125,2112.9573465791527,179.30259227138376

